,Risk communication,Only one case (base case),Absolute risk (base case),Absolute risk (new case),Absolute number (base case),Absolute number (new case),Absolute risk difference,Relative risk difference,Absolute number difference,Verbal risk descriptor (base case),Verbal risk descriptor (new situation),Verbal risk descriptor (change from base to new),Population Size,Reference class size (base case: absolute number),Reference class size (new case: absolute number),Reference class description (base case),Reference class description (new case),Source (base case),Source (new situation),Topic and unit
"Researchers found, among U.S. veterans, the risk of developing Depression after COVID-19 was 52% higher compared to uninfected individuals – equivalent to 4 more cases per 1,000 people per year.",1,0,,,,,4/1000,52%,4,,,risk of developing Depression after COVID-19 was 52% higher,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",Researchers,Researchers,Depression risk post-COVID-19 in %
"In the BMJ report from February, which also examined U.S. veterans, reported 4 extra Depression cases per 1,000 people a year following COVID-19, indicating a 52% elevated risk.",1,0,,,,,4/1000,52%,4,,,elevated risk,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",BMJ,BMJ,Depression risk post-COVID-19 in %
"Researchers found that, among U.S. veterans, risk of developing Sleep disorders after COVID-19 was 48% higher compared to uninfected individuals – equivalent to 5 more cases per 1,000 people per year.",1,0,,,,,5/1000,48%,5,,, risk of developing Sleep disorders after COVID-19 was 48% higher,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",Researchers,Researchers,Sleep disorders risk post-COVID-19 in %
"The BMJ report from February, that examined U.S. veterans, reported 5 extra Sleep disorders cases per 1,000 people a year following COVID-19, indicating a 48% elevated risk.",1,0,,,,,5/1000,48%,5,,,elevated risk,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",BMJ,BMJ,Sleep disorders risk post-COVID-19 in %
"Researchers found that, among U.S. veterans, the risk  developing Cardiovascular disease after COVID-19 was 40% higher compared to uninfected individuals – equivalent to 6 more cases per 1,000 people per year.",1,0,,,,,6/1000,40%,6,,,risk of developing Cardiovascular disease after COVID-19 was 40% higher,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",Researchers,Researchers,Cardiovascular disease risk post-COVID-19 in %
"The BMJ report from February, examined U.S. veterans, reported 6 extra Cardiovascular disease cases per 1,000 people a year following COVID-19, indicating a 40% elevated risk.",1,0,,,,,6/1000,40%,6,,,elevated risk,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",BMJ,BMJ,Cardiovascular disease risk post-COVID-19 in %
"Researchers interesstingly found that, among U.S. veterans, the risk of developing Diabetes after COVID-19 was 60% higher compared to uninfected individuals – equivalent to 7 more cases per 1,000 people per year.",1,0,,,,,7/1000,60%,7,,,risk of developing Diabetes after COVID-19 was 60% higher,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",Researchers,Researchers,Diabetes risk post-COVID-19 in %
"The BMJ report from February, that examined U.S. veterans, reported 7 extra Diabetes cases per 1,000 people a year following COVID-19, indicating a 60% elevated risk.",1,0,,,,,7/1000,60%,7,,,elevated risk,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",BMJ,BMJ,Diabetes risk post-COVID-19 in %
"Notably Researchers found that, among U.S. veterans, the risk of developing Ptsd after COVID-19 was 55% higher compared to uninfected individuals – equivalent to 8 more cases per 1,000 people per year.",1,0,,,,,8/1000,55%,8,,,risk of developing Ptsd after COVID-19 was 55% higher,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",Researchers,Researchers,Ptsd risk post-COVID-19 in %
"The BMJ report, which also examined U.S. veterans, reported 8 extra Ptsd cases per 1,000 people a year following COVID-19, indicating a 55% elevated risk.",1,0,,,,,8/1000,55%,8,,,elevated risk,,,,People without a confirmed COVID-19 infection,"U.S. veterans with COVID-19, one year after infection",BMJ,BMJ,Ptsd risk post-COVID-19 in %
The investigation involved 90 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/2 of them showed reduced function in the right side of the heart.,1,1,1/2,,,,,,,,,,,90,,critically ill COVID-19 patients on ventilators,,,,frequency of right heart dysfunction in ventilated COVID-19 patients
"According to the study, 110 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/3 of them showed issues with the right side of the heart.",1,1,1/3,,,,,,,,,,,110,,critically ill COVID-19 patients on ventilators,,the study,,frequency of right heart dysfunction in ventilated COVID-19 patients
The investigation involved 150 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/4 of them showed issues with the right side of the heart.,1,1,1/4,,,,,,,,,,,150,,critically ill COVID-19 patients on ventilators,,,,frequency of right heart dysfunction in ventilated COVID-19 patients
A recent study examined 160 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/5 of them showed pulmonary circulation issues related to the heart.,1,1,1/5,,,,,,,,,,,160,,critically ill COVID-19 patients on ventilators,,the study,,frequency of right heart dysfunction in ventilated COVID-19 patients
Researchers studied 175 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/6 of them showed abnormalities in the heart’s right ventricle.,1,1,1/6,,,,,,,,,,,175,,critically ill COVID-19 patients on ventilators,,Researchers,,frequency of right heart dysfunction in ventilated COVID-19 patients
The team of scientists analyzed 130 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/7 of them showed malfunctions in the heart’s ability to pump to the lungs.,1,1,1/7,,,,,,,,,,,130,,critically ill COVID-19 patients on ventilators,,The team of scientists,,frequency of right heart dysfunction in ventilated COVID-19 patients
"As noted in the study, 95 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/8 of them showed issues with the right side of the heart.",1,1,1/8,,,,,,,,,,,95,,critically ill COVID-19 patients on ventilators,,the study,,frequency of right heart dysfunction in ventilated COVID-19 patients
Researchers studied 105 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/10 of them showed structural problems in the right part of the heart.,1,1,1/10,,,,,,,,,,,105,,critically ill COVID-19 patients on ventilators,,Researchers,,frequency of right heart dysfunction in ventilated COVID-19 patients
"As noted in the study, 140 critically ill patients were receiving treatment on ventilators due to the impact of COVID-19. Roughly 1/12 of them showed abnormalities in the heart’s right ventricle.",1,1,1/12,,,,,,,,,,,140,,critically ill COVID-19 patients on ventilators,,the study,,frequency of right heart dysfunction in ventilated COVID-19 patients
