input,output
Data from 35 million traffic stops show that the probability that a stopped driver is Black increases by 5.74% after Trump 2016 campaign rallies.,"Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): 5.74% increase
   Absolute number (base case): null
   Absolute number (new case): 35 million traffic stops
   Absolute risk difference: 5.74%
   Relative risk: 5.74% increase
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): increased
   Verbal risk descriptor (change from base to new): significantly higher
   Reference class size (base case: absolute number): 35 million traffic stops
   Reference class size (new case: absolute number): 35 million traffic stops
   Reference class description (base case): drivers stopped during traffic stops
   Reference class description (new case): drivers stopped during traffic stops
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation): data from the study
   Topic and unit: probability of a stopped driver being Black, percentage increase after Trump 2016 campaign rallies"
"Around 1 in 127 people globally is on the autism spectrum. This figure is substantially higher than the previous estimate of around 1 in 271 people, based on 2019 data. ASD was most common in people younger than 20 years old, where it ranked within the top 10 causes of non-fatal health burden.","Risk communication: 1
   Absolute risk (base case): null (The text does not provide a specific percentage or ratio for the base case)
   Absolute risk (new case): 1 in 127 (Approximately 0.8% when converted to a decimal)
   Absolute number (base case): null (The text does not provide a count of affected individuals before change)
   Absolute number (new case): null (The text does not provide a count of affected individuals after change)
   Absolute risk difference: Approximately 0.8% - 0.36% = 0.44% (Assuming the previous estimate is 0.36% when converted to a decimal)
   Relative risk: null (The text does not provide a relative change)
   Absolute number difference: null (The text does not provide a change in absolute numbers)
   Verbal risk descriptor (base case): null (The text does not provide a qualitative risk term before change)
   Verbal risk descriptor (new situation): null (The text does not provide a qualitative term after change)
   Verbal risk descriptor (change from base to new): ""significantly higher""
   Reference class size (base case: absolute number): null (The text does not specify the total population size for the base case)
   Reference class size (new case: absolute number): global population (implied but not explicitly stated)
   Reference class description (base case): null (The text does not specify a group description for the base case)
   Reference class description (new case): people on the autism spectrum
   Population (übergeordnete Grundgesamtheit): global population
   Source (base case): null (The text does not specify where the base risk data comes from)
   Source (new situation): null (The text does not specify a source for the changed/new risk)
   Topic and unit: prevalence of autism spectrum disorder (ASD), per person"
"Data from more than 90,000 nurses studied over the course of 27 years found lesbian and bisexual nurses died earlier than their straight counterparts. Bisexual and lesbian participants died an estimated 37% and 20% sooner, respectively, than heterosexual participants. ","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case - bisexual nurses): 37%
   Absolute risk (new case - lesbian nurses): 20%
   Absolute number (base case): 90000
   Absolute number (new case - bisexual nurses): null
   Absolute number (new case - lesbian nurses): null
   Absolute risk difference: 17% (between bisexual and heterosexual nurses) and 20% (between lesbian and heterosexual nurses)
   Relative risk: 37% increase for bisexual nurses, 20% increase for lesbian nurses
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation - bisexual nurses): higher risk
   Verbal risk descriptor (new situation - lesbian nurses): higher risk
   Verbal risk descriptor (change from base to new): significantly higher
   Reference class size (base case: absolute number): 90000
   Reference class size (new case - bisexual nurses): null
   Reference class size (new case - lesbian nurses): null
   Reference class description (base case): nurses
   Reference class description (new case - bisexual nurses): bisexual nurses
   Reference class description (new case - lesbian nurses): lesbian nurses
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation): more than 90,000 nurses studied over the course of 27 years
   Topic and unit: mortality rate among nurses"
"Data from more than 90,000 nurses studied over the course of 27 years found lesbian and bisexual nurses died earlier than their straight counterparts. Bisexual and lesbian participants died an estimated 37% and 20% sooner, respectively, than heterosexual participants. ","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case - bisexual nurses): 37%
   Absolute risk (new case - lesbian nurses): 20%
   Absolute number (base case): 90000
   Absolute number (new case - bisexual nurses): null
   Absolute number (new case - lesbian nurses): null
   Absolute risk difference: 17% (between bisexual and heterosexual nurses) and 20% (between lesbian and heterosexual nurses)
   Relative risk: 37% increase for bisexual nurses, 20% increase for lesbian nurses
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation - bisexual nurses): higher risk
   Verbal risk descriptor (new situation - lesbian nurses): higher risk
   Verbal risk descriptor (change from base to new): significantly higher
   Reference class size (base case: absolute number): 90000
   Reference class size (new case - bisexual nurses): null
   Reference class size (new case - lesbian nurses): null
   Reference class description (base case): nurses
   Reference class description (new case - bisexual nurses): bisexual nurses
   Reference class description (new case - lesbian nurses): lesbian nurses
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation): more than 90,000 nurses studied over the course of 27 years
   Topic and unit: mortality rate among nurses"
"An estimated 1.7 billion people, 22% of the world population, have at least one underlying health condition that could increase their risk of severe COVID-19 if infected, according to a study that uses data from 188 countries","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): 1.7 billion
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): could increase their risk of severe COVID-19 if infected
   Verbal risk descriptor (change from base to new): not applicable
   Reference class size (base case: absolute number): 22% of the world population
   Reference class size (new case: absolute number): null
   Reference class description (base case): people with at least one underlying health condition
   Reference class description (new case): not applicable
   Population (übergeordnete Grundgesamtheit): world population
   Source (base case): a study that uses data from 188 countries
   Topic and unit: risk of severe COVID-19 if infected"
"In Massachusetts, nearly 5% of people over 11 abuse opioids. The study found that 4.6% of people over the age of 11, or more than 275,000 in the state, abuse opioids. That's nearly four times higher than previous estimates based on national data, the study authors said.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): 4.6%
   Absolute number (base case): null
   Absolute number (new case): more than 275000
   Absolute risk difference: 4.6%
   Relative risk: null
   Absolute number difference: more than 275000
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): nearly four times higher
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): more than 275000
   Reference class description (base case): null
   Reference class description (new case): people over the age of 11 in Massachusetts
   Population (übergeordnete Grundgesamtheit): people in Massachusetts
   Source (base case): null
   Source (new situation): study authors
   Topic and unit: opioid abuse prevalence among people over 11 in Massachusetts per person"
"Variety's viewing numbers data regarding the new season has had a 1109% percentage change, previous estimated watch time was 63.2M and the current estimated watch time is 764.7M. According to this, the 3 episode premiere became Prime Video's biggest opening weekend of the year, surpassing The Boys","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): 63.2M
   Absolute number (new case): 764.7M
   Absolute risk difference: null
   Relative risk: 1109% increase
   Absolute number difference: 1331.5M
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): significantly higher
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): viewers of Variety's data on Prime Video
   Source (base case): null
   Source (new situation): null
   Topic and unit: watch time for a new season on Prime Video, in millions"
Nebraska's predicted overdose deaths decreased nearly 18% from 175 in 2023 to 144 in 2024.,"Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): 18%
   Absolute number (base case): 175
   Absolute number (new case): 144
   Absolute risk difference: 18%
   Relative risk: 18% reduction
   Absolute number difference: 31
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): decreased significantly
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): null
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): Nebraska population
   Source (base case): null
   Source (new situation): null
   Topic and unit: overdose deaths in Nebraska per year"
"It's a common response to the neurological symptoms that signal a TIA, a transient ischemic attack or ministroke. At least 240,000 Americans experience one each year, with the incidence increasing sharply with age.","Risk communication: 1
   Absolute risk (base case): null
   Absolute risk (new case): null
   Absolute number (base case): 240,000
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): 1
   Reference class size (new case: absolute number): null
   Reference class description (base case): Americans
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): null
   Source (base case): null
   Source (new situation): null
   Topic and unit: incidence of transient ischemic attack or ministroke per year"
U.S. Department of Justice data shows suicides nationally accounted for 8% of deaths in state and federal prisons in 2019. ,"Risk communication: 1
   Absolute risk (base case): 8%
   Absolute risk (new case): null
   Absolute number (base case): null
   Absolute number (new case): null
   Absolute risk difference: null
   Relative risk: null
   Absolute number difference: null
   Verbal risk descriptor (base case): null
   Verbal risk descriptor (new situation): null
   Verbal risk descriptor (change from base to new): null
   Reference class size (base case: absolute number): null
   Reference class size (new case: absolute number): null
   Reference class description (base case): state and federal prisons population in 2019
   Reference class description (new case): null
   Population (übergeordnete Grundgesamtheit): U.S. general population
   Source (base case): U.S. Department of Justice
   Source (new situation): null
   Topic and unit: suicide rate in state and federal prisons"
