input,output
1,"Relative risk difference: 0.0574
Reference class size (base case: absolute number): 35000000
Reference class description (base case): people being stopped in traffic
Topic and unit: increase of black people being stopped in traffic in %"
1,"Absolute risk (base case): 1/271
Absolute risk (new case): 1/127
Verbal risk descriptor (change from base to new): substantially higher
Reference class description (base case): people globally
Reference class description (new case): people globally
Source (new situation): 2019 data
Topic and unit: people on the autism spectrum"
1,"Relative risk difference: 0.37
Reference class description (base case): bisexual nurses
Reference class description (new case): heterosexual nurses
Source (base case): Data from more than 90,000 nurses studied over the course of 27 years
Source (new situation): Data from more than 90,000 nurses studied over the course of 27 years
Topic and unit: life expectancy of bisexual nurses compared to straight nurses"
1,"Relative risk difference: 0.2
Reference class description (base case): lesbian nurses
Reference class description (new case): heterosexual nurses
Source (base case): Data from more than 90,000 nurses studied over the course of 27 years
Source (new situation): Data from more than 90,000 nurses studied over the course of 27 years
Topic and unit: life expectancy of lesbian nurses compared to straight nurses"
1,"Absolute risk (base case): 0.22
Absolute number (base case): 1700000000.0
Verbal risk descriptor (change from base to new): could increase
Reference class description (base case): world population
Reference class description (new case): people with severe COVID-19
Source (new situation): according to a study that uses data from 188 countries
Topic and unit: people with underlying health condition having covid"
1,"Absolute risk (base case): 0.046
Absolute number (base case): 275000.0
Reference class description (base case): people over 11 in Massachusetts
Source (base case): the study authors
Topic and unit: people who abuse opioids in %"
1,"Absolute number (base case): 63300000.0
Absolute number (new case): 764700000.0
Relative risk difference: 11.09
Reference class description (base case): viewing numbers
Reference class description (new case): viewing numbers
Source (base case): variety's viewing numbers data
Source (new situation): variety's viewing numbers data
Topic and unit: change of viewing numbers in %"
1,"Absolute number (base case): 175.0
Absolute number (new case): 144.0
Relative risk difference: 0.18
Reference class description (base case): Nebraska's overdose deaths
Reference class description (new case): Nebraska's overdose deaths
Topic and unit: change of Nebraska's predicted overdose deaths in %"
1,"Absolute number (base case): 240000.0
Verbal risk descriptor (change from base to new): incidence increasing sharply
Reference class description (base case): Americans
Reference class description (new case): Americans with age
Topic and unit: Number of Americans experiencing ministrokes"
1,"Absolute risk (base case): 0.08
Reference class description (base case): deaths in state and federal prisons in 2019
Source (base case): U.S Department of Justice data
Topic and unit: suicides in state and federal prisons in %"
1,"Absolute number (base case): 123.0
Absolute number (new case): 286.0
Verbal risk descriptor (change from base to new): more than twofold increase
Reference class size (base case: absolute number): 3098948
Reference class size (new case: absolute number): 3098948
Reference class description (base case): individuals who never had the virus
Reference class description (new case): individuals who had COVID
Source (base case): the study
Source (new situation): the study
Topic and unit: number of people who had amputations with COVID vs without COVID"
1,"Relative risk difference: 0.41
Reference class description (base case): woman who are heavy drinkers
Reference class description (new case): women who are heavy drinkers
Source (base case): Dr. Lisa Saul
Source (new situation): Dr. Lisa Saul
Topic and unit: change of woman who drink heavily since the pandemic in %"
1,"Absolute risk (base case): 0.14
Absolute number (base case): 1300000.0
Verbal risk descriptor (change from base to new): proportion is expected to rise
Reference class description (base case): population in Israel 
Reference class description (new case): population in Israel 
Source (base case): an IDI study puplished last year
Topic and unit: amount of Haredi Jews in Israel in % and absolute numbers"
1,"Absolute number (base case): 25974.0
Absolute number (new case): 350.0
Verbal risk descriptor (change from base to new): significant drop
Reference class description (base case): Americans
Reference class description (new case): Americans
Source (new situation): Centers of Desease Control and Prevention 
Topic and unit: Americans dying from COVID each week in absolute numbers"
